timestamp,solar_generation_kw,campus_load_kw,battery_soc_kwh,battery_charging_kw,battery_discharging_kw,grid_import_kw,ev_charging_load_kw,scenario
2024-03-11T00:00:00,0.05,9.72,73.11,0.0,7.56,0,7.56,normal
2024-03-11T00:15:00,0.06,13.05,70.24,0.0,11.47,0,11.47,normal
2024-03-11T00:30:00,0,9.53,69.19,0.0,4.2,0,4.2,normal
2024-03-11T00:45:00,0.16,11.53,65.48,0.0,14.84,0,14.84,normal
2024-03-11T01:00:00,0,11.09,62.93,0.0,10.21,0,10.21,normal
2024-03-11T01:15:00,0,9.07,62.48,0.0,1.78,0,1.78,normal
2024-03-11T01:30:00,0.02,6.17,58.83,0.0,14.63,0,14.63,normal
2024-03-11T01:45:00,0,8.88,57.35,0.0,5.91,0,5.91,normal
2024-03-11T02:00:00,0,10.63,54.37,0.0,11.92,0,11.92,normal
2024-03-11T02:15:00,0,7.18,53.1,0.0,5.09,0,5.09,normal
2024-03-11T02:30:00,0.15,9.55,49.58,0.0,14.08,0,14.08,normal
2024-03-11T02:45:00,0.01,7.15,46.75,0.0,11.32,0,11.32,normal
2024-03-11T03:00:00,0,10.22,46.0,0.0,2.99,0,2.99,normal
2024-03-11T03:15:00,0,10.75,44.09,0.0,7.64,0,7.64,normal
2024-03-11T03:30:00,0,9.42,42.22,0.0,7.5,0,7.5,normal
2024-03-11T03:45:00,0,13.7,42.05,0.0,0.68,0,0.68,normal
2024-03-11T04:00:00,0,7.88,41.53,0.0,2.06,0,2.06,normal
2024-03-11T04:15:00,0.08,7.56,40.28,0.0,5.0,0,5.0,normal
2024-03-11T04:30:00,0.02,6.08,38.5,0.0,7.11,0,7.11,normal
2024-03-11T04:45:00,0,10.39,36.79,0.0,6.85,0,6.85,normal
2024-03-11T05:00:00,0.07,10.34,34.52,0.0,9.09,0,9.09,normal
2024-03-11T05:15:00,0,9.4,32.59,0.0,7.73,0,7.73,normal
2024-03-11T05:30:00,0,8.56,31.36,0.0,4.92,0,4.92,normal
2024-03-11T05:45:00,0,12.11,30.0,0.0,5.42,3.78,9.2,normal
2024-03-11T06:00:00,2.77,6.47,30.0,0.0,0,2.44,2.44,normal
2024-03-11T06:15:00,3.57,9.23,30.0,0.0,0,14.86,14.86,normal
2024-03-11T06:30:00,4.34,11.22,30.0,0.0,0,11.09,11.09,normal
2024-03-11T06:45:00,5.97,11.86,30.0,0.0,0,4.49,4.49,normal
2024-03-11T07:00:00,6.82,9.38,30.0,0.0,0,5.05,5.05,normal
2024-03-11T07:15:00,8.97,11.95,30.0,0.0,0,12.42,12.42,normal
2024-03-11T07:30:00,10.57,9.63,30.0,0.0,0,7.05,7.99,normal
2024-03-11T07:45:00,12.43,7.61,30.0,0.0,0,5.81,10.63,normal
2024-03-11T08:00:00,16.48,32.71,30.0,0.0,0,21.99,21.99,normal
2024-03-11T08:15:00,18.79,32.79,30.0,0.0,0,42.63,42.63,normal
2024-03-11T08:30:00,22.65,30.27,30.0,0.0,0,24.73,24.73,normal
2024-03-11T08:45:00,26.44,35.41,30.0,0.0,0,36.95,36.95,normal
2024-03-11T09:00:00,29.97,36.22,30.0,0.0,0,49.2,49.2,normal
