request_id,vehicle_id,user_id,arrival_time,departure_time,battery_capacity_kwh,initial_soc,required_energy_kwh,max_charging_power_kw,charger_type,priority_category,scenario,request_timestamp,vehicle_type
REQ-88E94D0A,EV-045,EMP-045,2024-03-11T11:24:00,2024-03-11T17:39:24.424890,77,0.27,41.8,50,DC,standard,normal,2024-03-11T01:10:11.306270,VW ID.4
REQ-C7367343,EV-022,EMP-022,2024-03-11T07:50:00,2024-03-11T11:24:30.366047,52,0.1,41.4,22,AC,standard,normal,2024-03-11T04:19:15.052135,Renault Zoe
REQ-29DE3C0E,EV-047,EMP-047,2024-03-11T12:06:00,2024-03-11T16:48:27.546812,77,0.11,36.8,50,DC,standard,normal,2024-03-11T01:12:17.357137,Kia EV6
REQ-6CAB208B,EV-072,EMP-072,2024-03-11T10:40:00,2024-03-11T16:32:07.758295,75,0.2,33.8,50,DC,priority,normal,2024-03-10T23:49:42.166366,Tesla Model 3
REQ-ABB3AB5F,EV-032,EMP-032,2024-03-11T12:43:00,2024-03-11T20:57:30.965186,75,0.24,35.6,50,DC,standard,normal,2024-03-11T03:14:43.187587,Tesla Model 3
REQ-D3ED76B1,EV-018,EMP-018,2024-03-11T13:48:00,2024-03-11T19:57:17.860774,40,0.2,30.9,22,AC,standard,normal,2024-03-11T02:04:25.070237,Nissan Leaf
REQ-FCFFE58B,EV-080,EMP-080,2024-03-11T14:45:00,2024-03-11T16:26:09.231771,75,0.58,21.0,50,DC,standard,normal,2024-03-11T05:01:27.465248,Tesla Model 3
REQ-8EE407E6,EV-041,EMP-041,2024-03-11T14:37:00,2024-03-11T18:07:03.754159,82,0.61,17.7,50,DC,standard,normal,2024-03-11T04:14:34.239395,Tesla Model Y
REQ-EC979821,EV-008,EMP-008,2024-03-11T08:37:00,2024-03-11T13:34:08.187336,75,0.3,47.1,50,DC,standard,normal,2024-03-11T07:50:40.292403,Tesla Model 3
REQ-AAE37995,EV-004,EMP-004,2024-03-11T07:39:00,2024-03-11T15:37:57.529435,77,0.73,13.3,50,DC,standard,normal,2024-03-11T02:33:13.314887,Hyundai Ioniq 5
REQ-7EA40F0B,EV-009,EMP-009,2024-03-11T16:36:00,2024-03-11T21:00:00,82,0.17,67.1,50,DC,standard,normal,2024-03-11T05:01:51.079327,Tesla Model Y
REQ-1F047597,EV-051,EMP-051,2024-03-11T07:13:00,2024-03-11T11:58:33.221481,42,0.57,11.9,22,AC,standard,normal,2024-03-11T00:50:07.085330,BMW i3
REQ-E3B44F21,EV-064,EMP-064,2024-03-11T10:09:00,2024-03-11T13:33:37.507666,75,0.56,16.5,50,DC,standard,normal,2024-03-11T03:27:28.087320,Tesla Model 3
REQ-34FECE0D,EV-034,EMP-034,2024-03-11T12:29:00,2024-03-11T19:00:46.969620,40,0.34,14.1,22,AC,emergency,normal,2024-03-11T08:11:09.718508,Nissan Leaf
REQ-3DB1F567,EV-006,EMP-006,2024-03-11T08:41:00,2024-03-11T15:34:53.365101,52,0.3,23.8,22,AC,standard,normal,2024-03-11T03:33:20.623976,Renault Zoe
REQ-C68A70A1,EV-031,EMP-031,2024-03-11T07:15:00,2024-03-11T11:54:12.051012,77,0.71,18.7,50,DC,priority,normal,2024-03-10T23:40:17.682480,Kia EV6
REQ-279ADD52,EV-080,EMP-080,2024-03-11T08:05:00,2024-03-11T09:35:10.960372,75,0.29,38.1,50,DC,standard,normal,2024-03-11T00:03:15.187179,Tesla Model 3
REQ-C3C7FB80,EV-043,EMP-043,2024-03-11T09:53:00,2024-03-11T12:59:09.937827,42,0.41,23.6,22,AC,standard,normal,2024-03-11T07:25:54.776197,BMW i3
REQ-F5C4CC5D,EV-078,EMP-078,2024-03-11T08:01:00,2024-03-11T14:15:49.403106,52,0.32,32.1,22,AC,standard,normal,2024-03-10T23:46:46.259239,Renault Zoe
REQ-27562AC6,EV-069,EMP-069,2024-03-11T07:23:00,2024-03-11T09:03:59.485469,77,0.26,42.0,50,DC,standard,normal,2024-03-11T06:02:44.911312,VW ID.4
REQ-E81A8FDA,EV-001,EMP-001,2024-03-11T10:15:00,2024-03-11T13:12:29.751392,82,0.55,27.6,50,DC,standard,normal,2024-03-11T02:12:19.198340,Tesla Model Y
REQ-4EE4C582,EV-058,EMP-058,2024-03-11T08:30:00,2024-03-11T15:46:31.247091,40,0.17,23.7,22,AC,standard,normal,2024-03-10T20:59:00.205850,Nissan Leaf
REQ-A1DF9AD5,EV-055,EMP-055,2024-03-11T09:06:00,2024-03-11T12:28:08.353551,77,0.65,19.6,50,DC,standard,normal,2024-03-11T00:55:22.281871,Kia EV6
REQ-E5788083,EV-043,EMP-043,2024-03-11T16:47:00,2024-03-11T21:00:00,42,0.68,10.8,22,AC,standard,normal,2024-03-11T10:28:42.183976,BMW i3
REQ-479CDD25,EV-022,EMP-022,2024-03-11T14:05:00,2024-03-11T21:00:00,52,0.58,16.1,22,AC,standard,normal,2024-03-11T10:44:24.274867,Renault Zoe
REQ-6818CEC7,EV-052,EMP-052,2024-03-11T12:31:00,2024-03-11T17:55:35.094946,77,0.51,24.0,50,DC,standard,normal,2024-03-11T08:43:50.854554,Hyundai Ioniq 5
REQ-2E7009F8,EV-009,EMP-009,2024-03-11T07:38:00,2024-03-11T13:11:04.110008,82,0.19,40.9,50,DC,standard,normal,2024-03-10T23:00:34.247534,Tesla Model Y
REQ-FF67F9D5,EV-035,EMP-035,2024-03-11T07:48:00,2024-03-11T13:22:10.500794,42,0.37,16.0,22,AC,standard,normal,2024-03-10T20:53:39.686997,BMW i3
REQ-C5E8C20D,EV-037,EMP-037,2024-03-11T10:23:00,2024-03-11T18:18:31.764872,77,0.6,475.5,50,DC,priority,normal,2024-03-11T05:50:17.185569,VW ID.4
REQ-4249EBB3,EV-077,EMP-077,2024-03-11T12:42:00,2024-03-11T21:00:00,77,0.37,42.4,50,DC,priority,normal,2024-03-11T05:15:45.342818,VW ID.4
REQ-14BDD56F,EV-071,EMP-071,2024-03-11T07:26:00,2024-03-11T12:12:07.571353,77,0.12,45.3,50,DC,standard,normal,2024-03-11T02:17:01.289898,Kia EV6
REQ-86884B39,EV-022,EMP-022,2024-03-11T07:56:00,2024-03-11T10:23:25.950527,52,0.5,13.4,22,AC,standard,normal,2024-03-11T00:56:34.171903,Renault Zoe
REQ-01E6D3FF,EV-041,EMP-041,2024-03-11T08:17:00,2024-03-11T10:48:03.886155,82,0.4,25.8,50,DC,standard,normal,2024-03-11T05:20:57.264234,Tesla Model Y
REQ-DC73DF97,EV-015,EMP-015,2024-03-11T08:31:00,2024-03-11T12:51:36.407820,77,0.59,28.9,50,DC,standard,normal,2024-03-11T07:04:29.081964,Kia EV6
